#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
209,Bryan Hudson,CHW,10.13,0,3,6.75,30.0%,0.0%,30.0%,0.3,1.13,0.2,100.0%,162,251,61,6.75,10.6,-3.85,2.55,2.39
210,Jacob deGrom,TEX,12.24,2.2,5.57,0.63,37.9%,6.8%,31.1%,0.135,0.7,0.2,58.1%,77,48,55,3.14,2.02,1.12,2.27,2.37
211,Ian Seymour,TBR,13.33,1.37,9.75,3.08,35.1%,3.6%,31.5%,0.252,1.18,0.305,87.0%,114,120,57,4.78,5.04,-0.26,2.38,2.35
212,Emmet Sheehan,LAD,11.57,1.54,7.5,0.77,35.7%,4.8%,31.0%,0.125,0.6,0.167,100.0%,18,50,58,0.77,2.16,-1.39,2.47,2.35
213,Cade Cavalli,WSN,13.82,2.25,6.14,0.96,39.4%,6.4%,33.0%,0.153,0.79,0.231,91.7%,45,61,50,1.93,2.6,-0.67,2.13,2.15
214,Gavin Williams,CLE,17.1,3.6,4.75,1.35,45.2%,9.5%,35.7%,0.213,1.2,0.382,72.1%,98,64,45,4.05,2.6,1.45,1.86,2.06
215,Riley Cornelio,WSN,14.4,1.8,8,0,47.1%,5.9%,41.2%,0.063,0.4,0.125,100.0%,0,12,41,0,0.5,-0.5,1.71,1.55
216,Adrian Houser,SFG,10.8,0,2,0,33.3%,0.0%,33.3%,0.167,0.6,0.25,100.0%,0,17,17,0,0.7,-0.7,0.7,1.45
217,Hagen Smith,CHW,13.5,0,3,0,37.5%,0.0%,37.5%,0.25,1,0.4,100.0%,0,2,2,0,0.1,-0.1,0.1,1.41
218,Gordon Graceffo,STL,12,0,4,0,44.4%,0.0%,44.4%,0,0,0,100.0%,0,11,46,0,0.44,-0.44,1.95,1.32
219,Tim Mayza,PHI,12,0,4,0,44.4%,0.0%,44.4%,0.222,0.67,0.4,100.0%,0,10,22,0,0.44,-0.44,0.94,0.71
220,Trevor Williams,TEX,18,0,2,0,66.7%,0.0%,66.7%,0,0,0,100.0%,0,-21,-22,0,-0.9,0.9,-0.9,0.06
