#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
83,Sean Manaea,NYM,6.28,1.88,3.33,2.2,15.6%,4.7%,10.9%,0.292,1.43,0.301,60.2%,175,136,116,7.22,5.72,1.5,4.92,4.66
84,Framber Valdez,DET,4.4,2.93,1.5,0.59,11.9%,7.9%,4.0%,0.243,1.24,0.265,71.8%,70,96,99,2.93,4.05,-1.11,4.14,4.65
85,Tomoyuki Sugano,COL,6.75,2.63,2.57,1.88,15.4%,6.0%,9.4%,0.33,1.79,0.36,48.6%,197,121,106,9.38,5.31,4.06,4.49,4.65
86,Robert Gasser,MIL,9.17,5.09,1.8,0.51,22.8%,12.7%,10.1%,0.194,1.3,0.25,67.8%,98,91,110,4.08,3.84,0.24,4.64,4.65
87,Andrew Morris,MIN,0,0,0,0,0.0%,0.0%,0.0%,0.4,2,0.4,50.0%,216,75,111,9,3.1,5.9,4.61,4.64
88,Andre Pallante,STL,5.63,2.81,2,0,15.9%,7.9%,7.9%,0.293,1.38,0.354,72.7%,82,67,91,3.38,2.79,0.58,3.83,4.6
89,Bailey Ober,MIN,8.68,4.34,2,0.48,21.7%,10.8%,10.8%,0.216,1.34,0.273,80.5%,58,81,114,2.41,3.32,-0.91,4.73,4.59
90,Drew Anderson,DET,8.06,4.56,1.77,1.4,21.3%,12.0%,9.3%,0.226,1.32,0.258,82.2%,84,121,105,3.51,5.09,-1.58,4.36,4.57
91,Seth Lugo,KCR,6.57,2.55,2.57,1.09,15.5%,6.0%,9.5%,0.358,1.86,0.409,62.2%,171,97,103,7.3,4.08,3.22,4.27,4.57
92,Jameson Taillon,TOR,4.5,0,1,4.5,12.5%,0.0%,12.5%,0.25,1,0.167,100.0%,109,205,87,4.5,8.6,-4.1,3.61,4.55
93,Michael McGreevy,STL,7.15,3.44,2.08,0.79,18.6%,9.0%,9.7%,0.244,1.32,0.287,59.8%,109,94,101,4.5,3.9,0.6,4.26,4.55
94,Tyler Phillips,MIA,8.35,4.42,1.89,1.96,23.3%,12.3%,11.0%,0.172,1.09,0.163,97.2%,69,132,101,2.95,5.56,-2.61,4.29,4.53
95,Peter Lambert,HOU,8,3.33,2.4,0.67,19.5%,8.1%,11.4%,0.282,1.52,0.345,58.3%,154,91,110,6.33,3.73,2.6,4.56,4.53
96,Cesar Perdomo,SFG,5.91,2.53,2.33,0.84,15.2%,6.5%,8.7%,0.302,1.5,0.343,75.3%,103,94,96,4.22,3.85,0.37,4.05,4.53
97,Robert Stock,NYM,8.15,3.57,2.29,0.51,19.3%,8.4%,10.8%,0.297,1.64,0.368,67.6%,136,85,109,5.6,3.56,2.05,4.62,4.52
98,Freddy Peralta,TBR,6.49,2.08,3.13,0.78,19.2%,6.2%,13.1%,0.151,0.75,0.165,80.6%,56,89,115,2.34,3.74,-1.4,4.79,4.5
99,Tanner Gordon,COL,6.58,1.73,3.8,1.04,16.4%,4.3%,12.1%,0.324,1.58,0.371,67.9%,117,84,106,5.54,3.72,1.82,4.48,4.49
100,Eric Lauer,LAD,9,2.25,4,3.38,20.0%,5.0%,15.0%,0.378,2,0.423,46.9%,295,165,120,12.38,7.1,5.27,5.06,4.47
101,Michael King,SDP,6.61,2.76,2.4,0.83,19.0%,7.9%,11.1%,0.195,0.98,0.221,97.4%,34,96,104,1.38,4.02,-2.64,4.4,4.45
102,Lake Bachar,PIT,10.32,5.56,1.86,0.79,28.9%,15.6%,13.3%,0.162,1.15,0.217,95.2%,37,96,107,1.59,4.07,-2.49,4.53,4.45
103,Will Dion,WSN,3,3,1,0,11.1%,11.1%,0.0%,0.25,1,0.286,100.0%,0,80,93,0,3.44,-3.44,3.94,4.44
104,Foster Griffin,CLE,7.77,3.7,2.1,0.37,19.4%,9.3%,10.2%,0.299,1.6,0.373,62.2%,143,80,100,5.92,3.27,2.65,4.16,4.44
105,Bubba Chandler,PIT,8.31,3.81,2.18,1.38,22.2%,10.2%,12.0%,0.229,1.27,0.265,70.4%,104,110,107,4.5,4.64,-0.14,4.5,4.43
106,Patrick Sandoval,BOS,10.08,5.04,2,1.08,23.9%,12.0%,12.0%,0.311,1.84,0.403,67.0%,143,99,103,6.12,4.1,2.02,4.3,4.43
107,Jacob Lopez,ATH,8.82,3.31,2.67,1.65,23.0%,8.6%,14.4%,0.238,1.29,0.273,78.0%,92,108,115,4.13,4.73,-0.59,4.79,4.4
108,Kyle Harrison,MIL,10.38,4.67,2.22,3.63,23.0%,10.3%,12.6%,0.346,2.08,0.392,76.3%,175,181,105,7.27,7.6,-0.33,4.44,4.4
109,Bryce Elder,ATL,6.75,2.08,3.25,1.56,16.9%,5.2%,11.7%,0.278,1.38,0.304,76.9%,111,113,98,4.67,4.72,-0.05,4.12,4.39
110,Grayson Rodriguez,LAA,7.71,3.21,2.4,1.29,19.7%,8.2%,11.5%,0.288,1.5,0.337,77.5%,93,107,102,3.86,4.42,-0.57,4.24,4.38
111,Christian Scott,NYM,9.67,4.33,2.23,1.67,25.7%,11.5%,14.2%,0.184,1.15,0.203,73.1%,113,120,114,4.67,5.03,-0.36,4.8,4.37
112,Brady Basso,ATH,6.52,1.86,3.5,0.93,15.9%,4.5%,11.4%,0.31,1.55,0.353,73.5%,104,82,92,4.66,3.62,1.03,3.84,4.37
113,Brandon Pfaadt,ARI,6.61,1.44,4.6,1.72,17.2%,3.7%,13.4%,0.276,1.28,0.296,65.5%,136,116,104,5.74,4.79,0.95,4.38,4.36
114,Reynaldo López,ATL,9.64,5.79,1.67,1.93,21.7%,13.0%,8.7%,0.35,2.14,0.429,46.5%,275,136,84,11.57,5.67,5.9,3.54,4.36
115,Quinn Mathews,STL,8.77,3.86,2.27,1.05,22.1%,9.7%,12.4%,0.257,1.44,0.315,76.9%,102,98,98,4.21,4.08,0.13,4.15,4.33
116,Anthony Kay,CHW,7.45,2.48,3,1.55,18.0%,6.0%,12.0%,0.279,1.45,0.312,57.9%,164,114,103,6.83,4.83,2,4.31,4.33
117,Dustin May,MIL,8.82,3.31,2.67,1.1,20.8%,7.8%,13.0%,0.29,1.59,0.353,59.5%,172,100,110,7.16,4.21,2.96,4.65,4.32
118,Chris Bassitt,BAL,8.16,3.45,2.36,1.26,20.5%,8.7%,11.8%,0.287,1.53,0.341,78.7%,108,105,98,4.4,4.36,0.04,4.07,4.31
119,Connor Prielipp,MIN,7.89,2.91,2.71,0.83,20.0%,7.4%,12.6%,0.31,1.57,0.379,46.6%,199,89,99,8.31,3.66,4.65,4.13,4.29
120,Yusei Kikuchi,LAA,8.59,3.68,2.33,1.64,22.3%,9.6%,12.8%,0.25,1.36,0.288,90.6%,79,119,98,3.27,4.92,-1.65,4.07,4.27
121,David Peterson,CHC,10.42,5.68,1.83,1.42,23.9%,13.0%,10.9%,0.291,1.84,0.37,78.6%,127,118,86,5.21,4.89,0.32,3.64,4.25
122,Zebby Matthews,MIN,6.99,2.22,3.14,1.59,19.5%,6.2%,13.3%,0.21,1.02,0.218,78.3%,91,114,101,3.81,4.69,-0.88,4.21,4.24
123,Nick Martinez,TBR,6.35,1.27,5,0.95,18.0%,3.6%,14.4%,0.224,0.99,0.25,67.2%,91,83,98,3.81,3.49,0.32,4.09,4.24
124,Shane Baz,BAL,8.49,3.34,2.55,1.21,22.8%,8.9%,13.8%,0.22,1.18,0.26,74.1%,104,106,108,4.25,4.38,-0.14,4.52,4.24
125,George Kirby,SEA,7.53,2.51,3,1.26,18.8%,6.3%,12.5%,0.317,1.6,0.37,64.4%,154,102,92,5.97,4.08,1.89,3.85,4.22
126,Gage Jump,ATH,10.02,3.92,2.56,1.74,23.2%,9.1%,14.1%,0.315,1.79,0.387,52.5%,204,110,103,9.15,4.85,4.3,4.3,4.22
127,Andrew Painter,PHI,7.97,3.09,2.58,1.03,21.1%,8.2%,12.9%,0.231,1.23,0.273,75.5%,89,91,95,3.86,3.93,-0.07,4,4.21
128,José Soriano,TOR,6.14,2.76,2.22,0.92,15.6%,7.0%,8.6%,0.284,1.43,0.323,71.1%,119,102,99,4.91,4.3,0.61,4.1,4.17
129,Hayden Wesneski,HOU,7.8,3,2.6,0.6,21.1%,8.1%,13.0%,0.205,1.1,0.25,57.7%,87,81,96,3.6,3.34,0.26,3.98,4.17
130,J.T. Ginn,ATH,7.41,2.12,3.5,2.12,19.4%,5.6%,13.9%,0.299,1.41,0.327,72.2%,130,123,99,5.82,5.4,0.43,4.12,4.17
131,Elmer Rodríguez,NYY,10.24,4.66,2.2,0.93,26.2%,11.9%,14.3%,0.2,1.24,0.261,55.6%,156,102,110,6.52,4.34,2.17,4.56,4.17
132,Brandon Williamson,CIN,8.44,3.38,2.5,1.69,20.8%,8.3%,12.5%,0.318,1.69,0.375,78.9%,118,109,89,5.06,4.79,0.27,3.77,4.15
